,Accessibility,Administrative,Consulting,Contribution Refund,Events,Fees,Marketing,Other,Payroll,Technology,Transportation
Buttigieg,,103180.53999999996,46666.37,16425.0,5897.51,275076.3299999999,32192.36,,101416.22,29290.09,95416.63000000024
Harris,2695.0,268970.02999999997,335625.7,142973.63999999998,635443.74,389657.8500000001,1367967.47,84174.77999999998,706727.7600000005,128350.26000000001,392188.8999999996
Klobuchar,450.0,248235.52000000005,53957.7,13700.0,149638.27,167726.88999999998,777020.21,27990.0,285479.79,17000.0,194406.00999999995
O'Rourke,1710.0,150444.37,22000.0,56188.95000000001,7049.469999999999,361249.82,1297321.0699999998,18715.25,87798.7,372662.0,2755.12
Sanders,2390.5,366671.3400000001,23266.489999999998,26860.010000000002,1023907.0300000001,678541.7999999998,1920022.6099999999,33672.229999999996,639178.6699999998,64080.27999999999,231813.68999999925
Warren,4453.919999999999,457678.14,239085.91,7215.0,88379.18,231331.7899999999,1419433.85,425110.34,1756824.3299999991,279326.72,661731.4999999998
